NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Jason Behrendorff,Capped Bowler,Bowler,Australia,1.5 Cr,
Jaydev Unadkat,Capped Bowler,Bowler,India,1.5 Cr,
Jeffrey Vandersay,Capped Bowler,Bowler,India,1.5 Cr,
Jhye Richardson,Capped Bowler,Bowler,Australia,1.5 Cr,
Josh Little,Capped Bowler,Bowler,Ireland,1.5 Cr,
Karn Sharma,Capped Bowler,Bowler,India,1.5 Cr,
Keshav Maharaj,Capped Bowler,Bowler,South Africa,1.5 Cr,
Khaleel Ahmed,Capped Bowler,Bowler,India,1.5 Cr,
Kuldeep Sen,Capped Bowler,Bowler,India,1.5 Cr,
Kuldeep Yadav,Capped Bowler,Bowler,India,1.5 Cr,
Lance Morris,Capped Bowler,Bowler,Australia,1.5 Cr,
Lizaad Williams,Capped Bowler,Bowler,South Africa,1.5 Cr,
Lockie Ferguson,Capped Bowler,Bowler,India,1.5 Cr,
Luke Wood,Capped Bowler,Bowler,England,1.5 Cr,
Lungi Ngidi,Capped Bowler,Bowler,South Africa,1.5 Cr,
Maheesh Theekshana,Capped Bowler,Bowler,Sri Lanka,1.5 Cr,
Matheesha Pathirana,Capped Bowler,Bowler,Sri Lanka,1.5 Cr,
Matt Henry,Capped Bowler,Bowler,New Zealand,1.5 Cr,
Mayank Markande,Capped Bowler,Bowler,India,1.5 Cr,
Mayank Yadav,Capped Bowler,Bowler,India,1.5 Cr,
Mohit Sharma,Capped Bowler,Bowler,India,1.5 Cr,
Mohsin Khan,Capped Bowler,Bowler,India,1.5 Cr,
Mujeeb Ur Rahman,Capped Bowler,Bowler,Bangladesh,1.5 Cr,
Mukesh Kumar,Capped Bowler,Bowler,India,1.5 Cr,
Murugan Ashwin,Capped Bowler,Bowler,India,1.5 Cr,
Mustafizur Rahman,Capped Bowler,Bowler,Bangladesh,1.5 Cr,
Nandre Burger,Capped Bowler,Bowler,South Africa,1.5 Cr,
Nathan Ellis,Capped Bowler,Bowler,Australia,1.5 Cr,
Navdeep Saini,Capped Bowler,Bowler,India,1.5 Cr,
Naveen-ul-Haq,Capped Bowler,Bowler,Afghanistan,1.5 Cr,
Noor Ahmad,Capped Bowler,Bowler,Afghanistan,1.5 Cr,
Nuwan Thushara,Capped Bowler,Bowler,Sri Lanka,1.5 Cr,
Obed McCoy,Capped Bowler,Bowler,West Indies,1.5 Cr,
Olly Stone,Capped Bowler,Bowler,England,1.5 Cr,
Piyush Chawla,Capped Bowler,Bowler,India,1.5 Cr,
Prasidh Krishna,Capped Bowler,Bowler,India,1.5 Cr,
Rahul Chahar,Capped Bowler,Bowler,India,1.5 Cr,
Ravi Bishnoi,Capped Bowler,Bowler,India,1.5 Cr,
Reece Topley,Capped Bowler,Bowler,England,1.5 Cr,
Richard Gleeson,Capped Bowler,Bowler,England,1.5 Cr,
Riley Meredith,Capped Bowler,Bowler,Australia,1.5 Cr,
Rishad Hossain,Capped Bowler,Bowler,Bangladesh,1.5 Cr,
Sai Kishore,Capped Bowler,Bowler,India,1.5 Cr,
Sandeep Sharma,Capped Bowler,Bowler,India,1.5 Cr,
Sandeep Warrier,Capped Bowler,Bowler,India,1.5 Cr,
Shamar Joseph,Capped Bowler,Bowler,West Indies,1.5 Cr,
Shivam Mavi,Capped Bowler,Bowler,India,1.5 Cr,
Shoriful Islam,Capped Bowler,Bowler,Bangladesh,1.5 Cr,
Shreyas Gopal,Capped Bowler,Bowler,India,1.5 Cr,
Siddarth Kaul,Capped Bowler,Bowler,India,1.5 Cr,
Spencer Johnson,Capped Bowler,Bowler,Australia,1.5 Cr,
T Natarajan,Capped Bowler,Bowler,India,1.5 Cr,
Tabraiz Shamsi,Capped Bowler,Bowler,South Africa,1.5 Cr,
Tanveer Sangha,Capped Bowler,Bowler,India,1.5 Cr,
Taskin Ahmed,Capped Bowler,Bowler,Bangladesh,1.5 Cr,
Tim Southee,Capped Bowler,Bowler,New Zealand,1.5 Cr,
Tushar Deshpande,Capped Bowler,Bowler,India,1.5 Cr,
Umesh Yadav,Capped Bowler,Bowler,India,1.5 Cr,
Umran Malik,Capped Bowler,Bowler,India,1.5 Cr,
Varun Chakravarthy,Capped Bowler,Bowler,India,1.5 Cr,
Vijayakanth Viyaskanth,Capped Bowler,Bowler,India,1.5 Cr,
Waqar Salamkheil,Capped Bowler,Bowler,India,1.5 Cr,
Yash Dayal,Capped Bowler,Bowler,India,1.5 Cr,
Zahir Khan,Capped Bowler,Bowler,Afghanistan,1.5 Cr,
Aaron Hardie,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Anukul Roy,Capped All-Rounder,All-rounder,India,1.5 Cr,
Azmatullah Omarzai,Capped All-Rounder,All-rounder,Afghanistan,1.5 Cr,
Chris Green,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Daniel Sams,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Dasun Shanaka,Capped All-Rounder,All-rounder,Sri Lanka,1.5 Cr,
Deepak Hooda,Capped All-Rounder,All-rounder,India,1.5 Cr,
Dwaine Pretorius,Capped All-Rounder,All-rounder,South Africa,1.5 Cr,
Gulbadin Naib,Capped All-Rounder,All-rounder,Afghanistan,1.5 Cr,
